Cycle,Voltage_V,Current_A,Temperature_C,Capacity_Ah,Time_s,SOH_pct
85,4.189,1.491,25.33,1.992,4808.2,97.16
86,4.191,1.515,26.03,1.994,4730.7,97.28
87,4.188,1.497,25.95,2.008,4821.9,97.95
88,4.185,1.561,25.9,2.001,4585.0,97.63
89,4.183,1.402,25.22,1.992,5119.5,97.19
90,4.187,1.507,24.91,2.002,4781.6,97.67
91,4.181,1.409,25.15,1.997,5118.1,97.44
92,4.172,1.538,25.56,2.006,4696.5,97.84
93,4.188,1.495,25.74,1.988,4783.9,96.99
94,4.19,1.521,24.38,1.992,4696.4,97.15
95,4.174,1.457,25.47,1.99,4919.9,97.09
96,4.181,1.564,25.56,1.979,4570.2,96.54
97,4.189,1.552,25.35,1.996,4607.0,97.37
98,4.196,1.529,26.14,1.995,4698.9,97.33
99,4.185,1.494,25.71,1.992,4806.4,97.17
100,4.181,1.529,26.16,1.989,4669.0,97.03
101,4.184,1.465,25.4,1.977,4847.0,96.43
102,4.192,1.543,25.98,1.986,4639.2,96.89
103,4.181,1.582,26.33,1.986,4496.2,96.9
104,4.18,1.554,26.18,1.981,4598.1,96.65
105,4.182,1.464,24.98,1.987,4870.0,96.93
106,4.179,1.518,25.4,1.992,4745.6,97.18
107,4.185,1.435,25.36,2.006,5079.2,97.88
108,4.192,1.529,25.78,1.989,4666.5,97.01
109,4.185,1.523,25.89,1.989,4713.8,97.03
110,4.182,1.407,25.13,1.985,5066.6,96.84
111,4.182,1.442,25.59,1.966,4929.8,95.91
112,4.175,1.486,24.55,1.985,4783.0,96.81
113,4.187,1.485,26.29,1.985,4821.6,96.82
114,4.183,1.44,25.31,2.008,5005.1,97.97
115,4.182,1.519,25.6,1.981,4690.0,96.65
116,4.199,1.513,25.43,1.986,4705.3,96.86
117,4.184,1.49,26.16,1.982,4803.6,96.67
118,4.179,1.462,24.17,1.97,4833.1,96.09
119,4.18,1.552,25.59,1.992,4631.4,97.19
120,4.188,1.583,25.55,1.988,4514.8,96.97
121,4.182,1.476,25.38,1.988,4846.6,96.97
122,4.175,1.469,26.47,1.97,4830.1,96.11
123,4.186,1.525,25.17,1.993,4690.6,97.21
124,4.178,1.482,26.01,1.964,4775.4,95.82
125,4.191,1.493,25.8,1.984,4813.5,96.76
126,4.187,1.537,26.26,1.999,4666.8,97.52
127,4.179,1.405,25.3,1.967,5064.5,95.94
128,4.187,1.566,25.27,1.97,4560.0,96.12
129,4.181,1.504,26.19,1.977,4716.0,96.42
130,4.185,1.479,25.86,1.97,4764.6,96.1
131,4.183,1.496,24.88,1.959,4721.6,95.56
132,4.176,1.498,25.39,1.975,4734.1,96.32
133,4.177,1.413,25.86,1.963,5036.5,95.75
134,4.185,1.575,26.09,1.978,4521.7,96.47
135,4.178,1.502,25.34,1.963,4689.0,95.76
136,4.178,1.522,24.22,1.987,4677.2,96.94
137,4.175,1.548,25.95,1.963,4589.2,95.78
138,4.181,1.449,25.08,1.968,4877.0,95.98
139,4.189,1.524,24.69,1.978,4675.1,96.5
140,4.174,1.487,24.28,1.957,4759.0,95.48
141,4.179,1.542,26.11,1.971,4591.8,96.17
142,4.186,1.394,25.77,1.982,5118.0,96.67
143,4.178,1.495,25.6,1.952,4699.9,95.22
144,4.181,1.47,26.41,1.969,4837.1,96.07
145,4.173,1.522,26.04,1.97,4671.7,96.08
146,4.18,1.524,26.54,1.974,4660.8,96.31
147,4.177,1.465,25.04,1.954,4803.1,95.3
148,4.183,1.464,25.72,1.952,4791.8,95.23
149,4.184,1.494,24.94,1.97,4716.2,96.1
150,4.19,1.455,25.64,1.967,4872.1,95.97
151,4.18,1.542,25.63,1.966,4628.2,95.92
152,4.179,1.482,26.07,1.967,4761.3,95.94
153,4.178,1.355,25.79,1.956,5182.5,95.41
154,4.175,1.481,26.08,1.965,4757.1,95.83
155,4.178,1.448,26.13,1.965,4898.7,95.84
156,4.175,1.418,26.86,1.954,4968.3,95.32
157,4.177,1.438,25.63,1.979,4951.5,96.55
158,4.183,1.505,25.32,1.965,4680.2,95.85
159,4.171,1.566,25.92,1.948,4478.0,95.01
160,4.182,1.516,25.4,1.966,4637.5,95.88
161,4.182,1.47,26.55,1.949,4776.5,95.06
162,4.175,1.523,25.67,1.966,4664.9,95.9
163,4.165,1.477,25.53,1.969,4774.2,96.05
164,4.172,1.465,25.58,1.949,4757.3,95.06
165,4.182,1.442,26.18,1.966,4939.0,95.91
166,4.175,1.412,25.75,1.96,4983.6,95.61
167,4.17,1.481,25.51,1.964,4797.5,95.79
168,4.172,1.508,26.67,1.974,4709.4,96.29
169,4.179,1.495,25.42,1.952,4696.5,95.22
170,4.177,1.479,25.87,1.946,4745.6,94.94
171,4.173,1.453,26.18,1.944,4800.9,94.85
172,4.172,1.53,25.04,1.945,4577.1,94.86
173,4.172,1.434,26.11,1.952,4891.1,95.2
174,4.169,1.539,25.34,1.955,4547.7,95.38
175,4.182,1.45,26.29,1.954,4858.5,95.32
176,4.172,1.462,25.4,1.959,4817.3,95.56
177,4.18,1.427,26.23,1.95,4918.4,95.14
178,4.181,1.475,26.44,1.964,4770.1,95.82
179,4.178,1.549,26.33,1.947,4556.5,94.95
180,4.171,1.526,26.03,1.976,4679.5,96.39
181,4.175,1.549,25.79,1.954,4561.8,95.34
182,4.173,1.526,25.62,1.939,4568.1,94.59
183,4.168,1.445,26.65,1.936,4790.4,94.46
184,4.174,1.483,25.57,1.951,4774.8,95.19
185,4.166,1.461,25.41,1.944,4788.7,94.82
186,4.178,1.567,26.26,1.953,4472.6,95.26
187,4.17,1.44,25.54,1.95,4882.4,95.11
188,4.173,1.545,25.46,1.944,4553.7,94.82
189,4.173,1.545,25.22,1.936,4510.8,94.42
190,4.17,1.591,25.71,1.928,4387.8,94.07
191,4.174,1.48,25.91,1.939,4738.7,94.57
192,4.169,1.536,26.08,1.951,4552.6,95.18
193,4.175,1.614,26.44,1.944,4322.8,94.84
194,4.164,1.469,26.23,1.929,4746.3,94.1
195,4.171,1.423,25.88,1.943,4859.9,94.77
196,4.18,1.406,25.88,1.944,4975.5,94.85
197,4.165,1.536,26.24,1.931,4498.7,94.2
198,4.167,1.406,26.63,1.941,4961.0,94.69
199,4.173,1.481,26.06,1.94,4707.6,94.61
200,4.171,1.522,25.77,1.927,4551.4,94.0
201,4.172,1.509,25.51,1.942,4620.2,94.71
202,4.172,1.521,25.29,1.943,4576.3,94.79
203,4.173,1.511,26.35,1.948,4686.3,95.02
204,4.175,1.564,26.31,1.947,4519.2,94.98
205,4.171,1.452,26.31,1.922,4741.4,93.77
206,4.168,1.466,25.97,1.926,4761.1,93.96
207,4.172,1.461,26.74,1.94,4771.5,94.64
208,4.178,1.542,25.8,1.94,4532.4,94.62
209,4.168,1.545,26.52,1.939,4517.1,94.59
210,4.164,1.523,26.03,1.972,4649.6,96.2
211,4.174,1.559,25.75,1.939,4496.0,94.57
212,4.168,1.441,26.36,1.944,4858.5,94.82
213,4.157,1.583,26.27,1.942,4404.9,94.71
214,4.172,1.576,26.25,1.938,4400.4,94.54
215,4.165,1.537,26.12,1.928,4498.3,94.04
216,4.167,1.589,26.06,1.938,4357.9,94.54
217,4.169,1.417,27.28,1.922,4883.4,93.77
218,4.168,1.474,26.68,1.927,4683.6,94.01
219,4.171,1.463,26.46,1.924,4728.8,93.86
220,4.165,1.536,26.16,1.929,4549.1,94.12
221,4.169,1.447,26.61,1.951,4876.7,95.18
222,4.165,1.538,26.37,1.909,4467.9,93.12
223,4.17,1.569,26.13,1.934,4436.9,94.34
224,4.169,1.535,25.97,1.91,4518.8,93.19
225,4.162,1.514,26.08,1.921,4578.5,93.73
226,4.172,1.451,24.54,1.936,4799.3,94.46
227,4.163,1.458,26.24,1.926,4727.5,93.94
228,4.17,1.562,25.9,1.914,4417.4,93.36
229,4.167,1.539,26.94,1.917,4500.8,93.51
230,4.175,1.498,26.16,1.93,4626.4,94.17
231,4.164,1.479,25.56,1.916,4668.8,93.46
232,4.163,1.399,26.14,1.925,4946.8,93.89
233,4.165,1.446,25.64,1.923,4781.4,93.79
234,4.163,1.596,26.41,1.915,4271.3,93.42
235,4.169,1.436,26.32,1.943,4865.8,94.76
236,4.157,1.509,26.66,1.927,4615.3,94.0
237,4.159,1.55,25.79,1.9,4399.2,92.68
238,4.159,1.437,26.21,1.922,4814.3,93.74
239,4.169,1.509,25.51,1.913,4547.1,93.3
240,4.173,1.547,26.55,1.927,4492.5,94.01
241,4.163,1.501,26.46,1.91,4578.6,93.19
242,4.163,1.643,26.46,1.917,4179.8,93.5
243,4.164,1.417,26.22,1.922,4912.1,93.77
244,4.169,1.553,26.43,1.926,4482.3,93.93
245,4.159,1.491,27.03,1.904,4584.8,92.9
246,4.164,1.539,26.09,1.913,4484.9,93.29
247,4.168,1.522,26.3,1.911,4529.8,93.2
248,4.165,1.463,25.7,1.908,4707.7,93.09
249,4.164,1.511,25.81,1.932,4568.0,94.25
250,4.168,1.407,26.3,1.918,4927.3,93.56
251,4.149,1.53,26.81,1.901,4460.8,92.73
252,4.166,1.515,26.13,1.922,4560.7,93.77
253,4.159,1.532,26.15,1.934,4597.0,94.33
254,4.153,1.553,26.07,1.922,4462.6,93.77
255,4.164,1.518,26.01,1.896,4488.5,92.51
256,4.168,1.507,26.43,1.906,4508.4,92.99
257,4.161,1.456,25.54,1.923,4783.4,93.82
258,4.166,1.464,26.93,1.903,4651.5,92.83
259,4.169,1.559,25.96,1.914,4399.0,93.37
260,4.168,1.572,26.66,1.917,4383.8,93.51
261,4.169,1.488,25.67,1.899,4623.5,92.66
262,4.164,1.502,26.64,1.908,4586.8,93.06
263,4.161,1.455,26.65,1.875,4637.7,91.48
264,4.152,1.559,26.51,1.897,4387.8,92.54
265,4.159,1.533,25.83,1.904,4459.2,92.89
266,4.156,1.597,26.45,1.894,4271.9,92.38
267,4.171,1.456,25.74,1.922,4753.9,93.77
268,4.159,1.481,26.21,1.891,4616.0,92.25
269,4.16,1.512,26.86,1.901,4545.7,92.71
270,4.162,1.532,26.75,1.906,4487.3,92.97
271,4.16,1.489,26.36,1.918,4630.3,93.58
272,4.168,1.456,25.87,1.889,4684.8,92.16
273,4.156,1.544,26.69,1.915,4462.3,93.4
274,4.16,1.536,26.38,1.903,4437.7,92.81
275,4.155,1.454,25.21,1.892,4676.6,92.31
276,4.152,1.568,26.77,1.906,4379.0,92.99
277,4.155,1.559,26.37,1.903,4414.4,92.84
278,4.158,1.507,26.99,1.895,4523.4,92.43
279,4.156,1.504,25.85,1.901,4526.1,92.73
280,4.155,1.528,24.81,1.896,4468.9,92.49
281,4.151,1.457,26.54,1.9,4698.3,92.71
282,4.157,1.502,26.56,1.905,4572.3,92.95
283,4.15,1.392,25.57,1.914,4967.8,93.38
284,4.161,1.544,25.93,1.886,4417.3,91.98
285,4.158,1.422,27.8,1.919,4846.1,93.6
286,4.15,1.575,26.28,1.878,4278.7,91.59
287,4.155,1.483,26.8,1.895,4577.9,92.44
288,4.153,1.489,26.11,1.902,4611.2,92.78
289,4.158,1.469,25.4,1.898,4682.6,92.61
290,4.163,1.486,26.36,1.889,4571.1,92.14
291,4.147,1.571,26.32,1.893,4332.4,92.32
292,4.157,1.376,26.26,1.889,4973.8,92.16
293,4.155,1.564,26.41,1.888,4356.1,92.09
294,4.159,1.517,26.6,1.902,4522.3,92.77
295,4.157,1.44,26.4,1.896,4718.5,92.51
296,4.152,1.446,25.85,1.886,4707.0,91.98
297,4.154,1.584,26.73,1.901,4302.3,92.73
298,4.151,1.453,25.52,1.895,4672.3,92.42
299,4.161,1.442,25.47,1.899,4733.4,92.64
300,4.155,1.557,26.87,1.897,4374.6,92.53
301,4.164,1.517,26.76,1.882,4461.6,91.8
302,4.154,1.453,26.48,1.884,4638.9,91.91
303,4.151,1.511,25.82,1.897,4538.6,92.52
304,4.147,1.449,26.17,1.895,4731.3,92.43
305,4.145,1.555,26.39,1.888,4332.2,92.1
306,4.146,1.553,25.73,1.889,4398.4,92.15
307,4.155,1.527,26.17,1.9,4464.8,92.69
308,4.156,1.518,26.87,1.881,4477.9,91.76
309,4.146,1.588,27.26,1.892,4287.6,92.29
310,4.158,1.5,26.34,1.884,4522.3,91.9
311,4.151,1.441,26.93,1.883,4701.9,91.88
312,4.154,1.522,25.6,1.896,4507.8,92.5
313,4.161,1.604,26.89,1.893,4223.0,92.34
314,4.157,1.449,26.17,1.892,4712.9,92.31
315,4.151,1.482,26.73,1.897,4630.0,92.53
316,4.148,1.521,26.46,1.884,4473.0,91.88
317,4.142,1.497,27.25,1.89,4590.0,92.18
318,4.149,1.451,26.15,1.879,4652.6,91.68
319,4.151,1.556,26.91,1.885,4380.7,91.96
320,4.147,1.616,26.46,1.88,4186.6,91.72
321,4.151,1.51,26.53,1.882,4512.4,91.81
322,4.152,1.455,26.52,1.887,4668.5,92.03
323,4.15,1.423,26.19,1.872,4729.8,91.32
324,4.148,1.513,26.61,1.901,4549.0,92.72
325,4.152,1.555,26.59,1.869,4317.3,91.19
326,4.153,1.524,26.75,1.867,4382.1,91.06
327,4.145,1.5,26.68,1.89,4526.1,92.2
328,4.158,1.471,27.04,1.886,4629.3,92.0
329,4.15,1.445,27.11,1.884,4719.8,91.89
330,4.151,1.542,26.12,1.883,4400.1,91.87
331,4.154,1.546,27.09,1.877,4397.0,91.54
332,4.151,1.423,26.07,1.867,4697.8,91.09
333,4.155,1.579,26.96,1.877,4268.2,91.54
334,4.151,1.529,26.98,1.869,4394.7,91.15
335,4.147,1.57,25.72,1.885,4319.3,91.94
336,4.151,1.433,26.73,1.873,4707.5,91.37
337,4.144,1.432,26.45,1.866,4705.3,91.01
338,4.15,1.493,26.31,1.87,4502.5,91.24
339,4.149,1.525,27.37,1.877,4434.0,91.58
340,4.148,1.59,26.37,1.867,4227.0,91.08
341,4.148,1.535,26.3,1.864,4352.4,90.93
342,4.139,1.488,26.75,1.874,4532.7,91.43
343,4.146,1.449,27.06,1.874,4653.7,91.41
344,4.149,1.562,26.65,1.866,4298.5,91.02
345,4.149,1.452,27.31,1.866,4627.4,91.02
346,4.143,1.581,27.0,1.872,4264.0,91.34
347,4.154,1.486,25.65,1.855,4486.5,90.5
348,4.143,1.58,26.48,1.855,4253.7,90.5
349,4.152,1.534,26.46,1.862,4345.7,90.81
350,4.15,1.493,26.99,1.866,4485.1,91.04
351,4.144,1.474,25.44,1.871,4625.3,91.27
352,4.156,1.483,28.03,1.882,4548.6,91.82
353,4.141,1.521,27.03,1.876,4411.1,91.5
354,4.151,1.504,26.84,1.865,4479.3,90.98
355,4.152,1.47,27.37,1.866,4527.4,91.03
356,4.143,1.492,27.95,1.856,4473.9,90.53
357,4.153,1.504,27.22,1.865,4507.6,90.98
358,4.145,1.394,27.26,1.862,4779.3,90.83
359,4.148,1.523,26.86,1.868,4375.5,91.11
360,4.147,1.451,26.73,1.856,4574.3,90.53
361,4.145,1.442,26.57,1.869,4682.5,91.16
362,4.15,1.416,26.4,1.879,4799.7,91.64
363,4.15,1.41,26.47,1.862,4742.0,90.81
364,4.137,1.432,26.14,1.866,4704.9,91.04
365,4.152,1.465,26.79,1.869,4621.6,91.16
366,4.137,1.598,25.99,1.857,4221.2,90.61
367,4.15,1.474,26.93,1.863,4546.8,90.89
368,4.15,1.509,26.82,1.861,4393.5,90.77
369,4.139,1.52,26.92,1.861,4391.6,90.79
370,4.142,1.507,26.59,1.852,4417.1,90.34
371,4.139,1.496,28.39,1.86,4469.5,90.71
372,4.143,1.44,27.54,1.864,4655.3,90.92
373,4.143,1.573,26.24,1.873,4310.3,91.37
374,4.148,1.59,26.99,1.868,4253.3,91.11
375,4.15,1.416,26.57,1.879,4774.7,91.67
376,4.151,1.449,26.37,1.85,4617.9,90.22
377,4.141,1.486,26.21,1.866,4526.7,91.0
378,4.142,1.452,27.11,1.858,4609.2,90.65
379,4.135,1.525,26.55,1.878,4450.3,91.6
380,4.139,1.464,27.38,1.847,4545.7,90.12
381,4.148,1.608,27.4,1.847,4175.0,90.09
382,4.151,1.56,27.6,1.849,4238.8,90.18
383,4.136,1.511,26.49,1.833,4358.1,89.42
384,4.139,1.551,27.16,1.849,4287.3,90.18
385,4.142,1.555,27.24,1.846,4281.4,90.04
386,4.144,1.472,26.69,1.855,4561.6,90.47
387,4.138,1.459,26.55,1.856,4578.6,90.54
388,4.144,1.504,27.74,1.871,4450.3,91.27
389,4.139,1.543,27.06,1.861,4359.3,90.8
390,4.141,1.507,27.27,1.846,4424.2,90.03
391,4.144,1.421,26.54,1.842,4627.2,89.85
392,4.141,1.46,26.35,1.855,4575.5,90.51
393,4.139,1.496,26.68,1.837,4387.8,89.61
394,4.14,1.496,26.91,1.868,4481.3,91.12
395,4.14,1.599,26.44,1.861,4173.0,90.79
396,4.139,1.431,26.98,1.844,4656.7,89.96
397,4.139,1.525,26.14,1.831,4324.7,89.33
398,4.148,1.574,26.43,1.862,4230.9,90.81
399,4.143,1.614,27.33,1.847,4137.3,90.07
400,4.139,1.48,27.3,1.86,4495.4,90.71
401,4.143,1.525,26.81,1.831,4329.9,89.31
402,4.138,1.528,26.5,1.84,4318.4,89.78
403,4.145,1.51,26.5,1.846,4394.6,90.05
404,4.141,1.495,26.83,1.846,4455.3,90.05
405,4.139,1.522,27.35,1.841,4364.8,89.79
406,4.141,1.373,27.49,1.851,4878.7,90.29
407,4.131,1.534,26.79,1.834,4301.4,89.45
408,4.133,1.506,26.46,1.843,4409.7,89.88
409,4.133,1.489,27.18,1.845,4451.7,89.99
410,4.139,1.602,26.64,1.848,4156.2,90.16
411,4.147,1.466,26.8,1.85,4550.6,90.24
412,4.149,1.48,27.72,1.831,4452.5,89.32
413,4.141,1.6,27.48,1.827,4074.8,89.1
414,4.14,1.458,27.15,1.854,4583.9,90.45
415,4.129,1.472,26.44,1.844,4516.6,89.97
416,4.135,1.493,27.19,1.833,4407.8,89.43
417,4.134,1.542,27.62,1.856,4306.8,90.53
418,4.134,1.51,26.9,1.841,4417.6,89.81
419,4.136,1.435,27.77,1.851,4653.0,90.31
420,4.135,1.473,27.75,1.84,4490.6,89.74
421,4.127,1.47,27.94,1.859,4531.8,90.7
422,4.14,1.496,27.26,1.856,4449.0,90.53
423,4.131,1.521,27.41,1.835,4369.3,89.53
424,4.138,1.521,27.83,1.847,4375.0,90.11
425,4.147,1.411,27.35,1.844,4691.9,89.93
426,4.132,1.553,26.88,1.85,4298.9,90.26
427,4.123,1.513,26.91,1.827,4331.0,89.1
428,4.134,1.569,27.26,1.843,4257.5,89.89
429,4.141,1.522,26.5,1.846,4392.9,90.05
430,4.145,1.555,27.08,1.817,4198.2,88.66
431,4.129,1.523,27.7,1.823,4295.2,88.92
432,4.138,1.567,26.06,1.814,4114.0,88.48
433,4.133,1.526,27.93,1.831,4290.0,89.33
434,4.134,1.495,27.73,1.841,4405.2,89.79
435,4.148,1.614,26.95,1.848,4125.8,90.15
436,4.127,1.544,27.45,1.833,4267.0,89.43
437,4.136,1.529,27.19,1.849,4326.4,90.17
438,4.137,1.436,27.8,1.818,4551.6,88.69
439,4.14,1.436,27.69,1.814,4560.2,88.51
440,4.134,1.515,26.5,1.831,4361.4,89.29
441,4.135,1.507,27.5,1.835,4343.6,89.49
442,4.132,1.469,27.11,1.83,4481.1,89.27
443,4.135,1.507,27.26,1.809,4294.2,88.25
444,4.132,1.579,26.86,1.829,4186.0,89.2
445,4.136,1.535,28.1,1.816,4275.5,88.59
446,4.131,1.443,27.75,1.835,4561.2,89.53
447,4.135,1.494,26.87,1.832,4397.8,89.37
448,4.133,1.46,26.57,1.819,4475.6,88.71
449,4.138,1.481,27.05,1.822,4386.0,88.9
450,4.132,1.479,27.47,1.817,4427.4,88.61
451,4.123,1.476,27.38,1.826,4448.1,89.08
452,4.139,1.437,27.89,1.836,4618.0,89.56
453,4.128,1.494,27.66,1.816,4355.3,88.59
454,4.129,1.472,27.75,1.831,4464.8,89.3
455,4.129,1.354,27.44,1.82,4810.2,88.77
456,4.138,1.603,26.59,1.817,4061.1,88.63
457,4.121,1.554,27.19,1.823,4199.1,88.94
458,4.147,1.481,27.82,1.814,4428.0,88.47
459,4.136,1.501,27.27,1.818,4346.7,88.69
460,4.132,1.441,27.55,1.811,4526.2,88.35
461,4.131,1.585,27.15,1.842,4177.8,89.88
462,4.132,1.595,26.8,1.823,4089.2,88.92
463,4.133,1.508,27.25,1.815,4330.2,88.54
464,4.134,1.551,27.47,1.824,4244.8,88.97
465,4.133,1.509,27.0,1.82,4318.9,88.79
466,4.131,1.433,27.21,1.819,4584.6,88.72
467,4.129,1.479,26.87,1.827,4428.0,89.11
468,4.129,1.507,27.9,1.828,4357.7,89.16
469,4.129,1.477,27.2,1.814,4432.3,88.51
470,4.135,1.489,28.08,1.814,4371.4,88.47
471,4.132,1.495,28.12,1.816,4373.1,88.6
472,4.114,1.496,27.32,1.796,4314.8,87.59
473,4.132,1.503,26.86,1.803,4322.4,87.95
474,4.13,1.447,26.33,1.832,4509.1,89.34
475,4.129,1.464,26.64,1.834,4472.6,89.46
476,4.127,1.436,26.69,1.815,4562.1,88.52
477,4.134,1.549,28.07,1.822,4256.6,88.9
478,4.133,1.395,27.45,1.819,4678.0,88.75
479,4.124,1.558,27.59,1.847,4263.1,90.08
480,4.13,1.569,26.29,1.827,4196.4,89.11
481,4.123,1.485,26.81,1.814,4411.5,88.48
482,4.121,1.37,27.85,1.805,4703.7,88.06
483,4.124,1.482,27.56,1.798,4350.9,87.72
484,4.132,1.497,27.35,1.816,4361.3,88.59
485,4.132,1.449,27.71,1.806,4499.8,88.1
486,4.13,1.474,28.25,1.799,4443.1,87.76
487,4.131,1.577,27.32,1.806,4120.5,88.12
488,4.129,1.533,27.47,1.802,4202.2,87.89
489,4.123,1.454,27.54,1.829,4537.3,89.22
490,4.129,1.42,28.65,1.821,4641.6,88.81
491,4.13,1.484,26.41,1.811,4397.2,88.36
492,4.13,1.489,27.8,1.826,4395.2,89.06
493,4.132,1.525,27.41,1.811,4295.8,88.36
494,4.129,1.473,27.75,1.802,4415.8,87.89
495,4.128,1.526,27.15,1.825,4286.3,89.03
496,4.131,1.597,27.46,1.815,4099.4,88.53
497,4.125,1.541,27.84,1.799,4222.7,87.74
498,4.121,1.498,29.05,1.807,4367.1,88.14
499,4.124,1.491,27.9,1.8,4344.3,87.79
500,4.121,1.482,27.08,1.794,4350.7,87.52
501,4.121,1.559,27.29,1.817,4220.0,88.63
502,4.124,1.469,27.28,1.826,4452.7,89.09
503,4.121,1.502,26.62,1.793,4305.3,87.46
504,4.123,1.503,27.35,1.812,4314.4,88.4
505,4.115,1.475,27.89,1.8,4413.9,87.79
506,4.125,1.431,26.89,1.801,4524.2,87.85
507,4.124,1.516,28.06,1.799,4298.1,87.78
508,4.12,1.497,27.78,1.796,4330.0,87.63
509,4.127,1.525,27.18,1.805,4236.9,88.06
510,4.128,1.473,27.48,1.796,4416.9,87.61
511,4.115,1.561,28.35,1.807,4197.4,88.13
512,4.119,1.456,27.93,1.803,4475.3,87.95
513,4.119,1.586,27.57,1.801,4073.4,87.84
514,4.118,1.413,27.45,1.794,4565.2,87.5
515,4.127,1.522,27.61,1.797,4253.4,87.64
